rule,activation_rate,global_rate,dominance
"DOTCOM POSTAGE, SKULL SHOULDER BAG → SUKI  SHOULDER BAG",0.26602572,0.007871183,33.79743
"HERB MARKER PARSLEY, HERB MARKER THYME → HERB MARKER BASIL",70.17178,2.0938797,33.512806
"HERB MARKER PARSLEY, HERB MARKER THYME → HERB MARKER MINT",70.24415,2.096039,33.512806
"HERB MARKER PARSLEY, HERB MARKER THYME → HERB MARKER ROSEMARY",74.24417,2.2153971,33.512806
"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER MINT",68.18268,2.0891776,32.63613
"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER BASIL",67.75206,2.0759833,32.63613
"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER THYME",71.99572,2.206013,32.636127
"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER ROSEMARY",68.204,2.1094844,32.332073
"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER THYME",68.13799,2.107443,32.33207
"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER BASIL",66.11344,2.0448258,32.332066
"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER ROSEMARY",70.64886,2.2041018,32.053356
"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER PARSLEY",70.45405,2.1980247,32.053345
"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER BASIL",67.02974,2.0911937,32.053337
"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER PARSLEY",68.416,2.1354544,32.038147
"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER MINT",65.157845,2.0337584,32.038143
"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER THYME",67.821236,2.1168904,32.038143
"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER ROSEMARY",69.69416,2.1753495,32.038143
"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER MINT",65.87395,2.0561104,32.03814
"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER ROSEMARY",67.527596,2.1077251,32.03814
"HERB MARKER ROSEMARY, HERB MARKER THYME → HERB MARKER PARSLEY",70.251724,2.2268016,31.548264
"HERB MARKER ROSEMARY, HERB MARKER THYME → HERB MARKER MINT",66.65038,2.1126482,31.548264
"HERB MARKER ROSEMARY, HERB MARKER THYME → HERB MARKER BASIL",67.63854,2.143971,31.548254
"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER PARSLEY",66.58863,2.1929939,30.364258
"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER THYME",66.70814,2.1969302,30.36425
"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER BASIL",64.7481,2.1323795,30.364248
"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER THYME",66.44661,2.1904361,30.334877
"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER PARSLEY",64.945656,2.1409569,30.334873
"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER MINT",63.552,2.0950153,30.334862
"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER ROSEMARY",64.12625,2.1549923,29.757067
"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER PARSLEY",63.927883,2.1483266,29.75706
"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER THYME",62.683136,2.1064966,29.757055
"DOTCOM POSTAGE, SUKI  SHOULDER BAG → SKULL SHOULDER BAG",0.21913408,0.012966853,16.899557
"DOTCOM POSTAGE, JAM MAKING SET PRINTED → SUKI  SHOULDER BAG",0.2163553,0.012802435,16.899542
"GREEN REGENCY TEACUP AND SAUCER, SUKI  SHOULDER BAG → DOTCOM POSTAGE",1.0597018,0.08778247,12.071906
"JAM MAKING SET PRINTED, SUKI  SHOULDER BAG → DOTCOM POSTAGE",0.8477401,0.12539996,6.76029
"GREEN REGENCY TEACUP AND SAUCER, JAM MAKING SET PRINTED → DOTCOM POSTAGE",2.0972414,0.43431857,4.828809
"CHARLOTTE BAG PINK POLKADOT, PACK OF 72 RETROSPOT CAKE CASES → WOODLAND CHARLOTTE BAG",1.5607121,0.33859977,4.6093125
"JUMBO BAG RED RETROSPOT, RED TOADSTOOL LED NIGHT LIGHT → DOTCOM POSTAGE",1.3646286,0.29990405,4.550217
"GREEN REGENCY TEACUP AND SAUCER, JUMBO BAG RED RETROSPOT → DOTCOM POSTAGE",1.7290646,0.3808079,4.5405164
"BATHROOM METAL SIGN, JUMBO BAG RED RETROSPOT → DOTCOM POSTAGE",1.388575,0.3081009,4.5068836
"GREEN REGENCY TEACUP AND SAUCER, RED TOADSTOOL LED NIGHT LIGHT → DOTCOM POSTAGE",0.8350516,0.18528405,4.5068727
"JUMBO BAG RED RETROSPOT, SUKI  SHOULDER BAG → DOTCOM POSTAGE",0.98193187,0.23239908,4.225197
"JUMBO STORAGE BAG SUKI, RED TOADSTOOL LED NIGHT LIGHT → DOTCOM POSTAGE",0.78913546,0.21595167,3.6542225
"WOODEN HEART CHRISTMAS SCANDINAVIAN, WOODEN TREE CHRISTMAS SCANDINAVIAN → WOODEN STAR CHRISTMAS SCANDINAVIAN",5.2046356,1.4672978,3.5470889
"JUMBO BAG APPLES, JUMBO BAG VINTAGE LEAF → JUMBO BAG PEARS",3.298205,0.98722994,3.340868
"WOODEN STAR CHRISTMAS SCANDINAVIAN, WOODEN TREE CHRISTMAS SCANDINAVIAN → WOODEN HEART CHRISTMAS SCANDINAVIAN",4.0664134,1.3158017,3.0904453
"JUMBO STORAGE BAG SUKI, SUKI  SHOULDER BAG → DOTCOM POSTAGE",0.7663719,0.24939932,3.072871
"WOODEN HEART CHRISTMAS SCANDINAVIAN, WOODEN STAR CHRISTMAS SCANDINAVIAN → WOODEN TREE CHRISTMAS SCANDINAVIAN",5.9646573,2.1263506,2.8051147
"HAND WARMER BIRD DESIGN, HAND WARMER OWL DESIGN → HAND WARMER SCOTTY DOG DESIGN",3.0404258,1.1299801,2.6906898
"HAND WARMER BIRD DESIGN, HAND WARMER SCOTTY DOG DESIGN → HAND WARMER OWL DESIGN",2.4364479,0.90615773,2.688768
